0,10
1,8
2,17
3,17
4,2
5,18
6,7
7,11
8,4
9,1
10,17
11,12
12,18
13,4
14,8
15,4
16,7
17,17
18,13
19,20
20,8
21,8
22,12
23,15
24,12
25,7
26,3
27,17
28,19
29,20
30,13
31,11
32,18
33,13
34,11
35,20
36,17
37,11
38,6
39,6
40,10
41,5
42,12
43,19
44,11
45,6
46,4
47,15
48,18
49,7
50,5
51,17
52,15
53,2
54,2
55,6
56,5
57,19
58,19
59,6
60,15
61,18
62,9
63,12
64,7
65,9
66,9
67,1
68,2
69,16
70,17
71,6
72,8
73,4
74,6
75,5
76,19
77,15
78,14
79,17
80,7
81,9
82,20
83,9
84,14
85,10
86,3
87,17
88,5
89,15
90,8
91,4
92,19
93,3
94,20
95,4
96,12
97,8
98,17
99,13
100,20
101,13
102,18
103,4
104,7
105,17
106,3
107,5
108,3
109,17
110,3
111,14
112,18
113,17
114,9
115,10
116,13
117,16
118,15
119,13
120,17
121,4
122,16
123,19
124,11
125,13
126,9
127,6
128,4
129,14
130,14
131,16
132,9
133,14
134,12
135,16
136,5
137,7
138,5
139,10
140,3
141,2
142,15
143,12
144,14
145,4
146,2
147,16
148,14
149,12
150,19
151,8
152,18
153,3
154,11
155,14
156,19
157,5
158,1
159,19
160,5
161,7
162,4
163,2
164,7
165,10
166,16
167,4
168,18
169,11
170,8
171,11
172,6
173,2
174,18
175,7
176,6
177,7
178,3
179,8
180,1
181,5
182,16
183,11
184,13
185,1
186,6
187,3
188,11
189,5
190,11
191,16
192,20
193,9
194,16
195,3
196,5
197,14
198,15
199,16
200,3
201,2
202,19
203,10
204,19
205,7
206,7
207,7
208,8
209,3
210,1
211,11
212,14
213,20
214,3
215,9
216,5
217,18
218,18
219,9
220,7
221,6
222,5
223,15
224,5
225,17
226,6
227,19
228,5
229,1
230,5
231,14
232,15
233,13
234,7
235,5
236,4
237,5
238,1
239,1
240,17
241,6
242,8
243,14
244,7
245,18
246,1
247,13
248,14
249,6
250,15
251,9
252,5
253,1
254,7
255,17
256,3
257,15
258,14
259,7
260,19
261,15
262,10
263,6
264,17
265,17
266,18
267,17
268,20
269,18
270,4
271,9
272,7
273,2
274,12
275,9
276,7
277,8
278,20
279,2
280,11
281,14
282,6
283,7
284,19
285,10
286,5
287,10
288,2
289,5
290,14
291,9
292,14
293,10
294,13
295,20
296,6
297,10
298,15
299,19
300,8
301,15
302,20
303,15
304,11
305,4
306,4
307,12
308,1
309,17
310,5
311,6
312,16
313,8
314,20
315,16
316,13
317,14
318,9
319,4
320,4
321,5
322,2
323,3
324,2
325,18
326,5
327,13
328,14
329,2
330,13
331,18
332,11
333,20
334,17
335,6
336,20
337,4
338,14
339,10
340,3
341,16
342,10
343,7
344,19
345,12
346,2
347,16
348,4
349,18
350,5
351,2
352,15
353,1
354,4
355,20
356,10
357,13
358,20
359,14
360,15
361,13
362,10
363,9
364,5
365,15
366,10
367,4
368,8
369,9
370,1
371,3
372,3
373,6
374,1
375,17
376,13
377,17
378,17
379,11
380,7
381,7
382,5
383,3
384,17
385,2
386,13
387,6
388,7
389,9
390,4
391,5
392,18
393,13
394,2
395,6
396,14
397,20
398,10
399,18
400,8
401,17
402,17
403,19
404,8
405,17
406,5
407,18
408,18
409,5
410,12
411,20
412,5
413,1
414,13
415,16
416,9
417,14
418,18
419,18
420,2
421,3
422,11
423,20
424,10
425,15
426,14
427,15
428,8
429,8
430,15
431,1
432,19
433,14
434,14
435,7
436,19
437,19
438,1
439,20
440,11
441,1
442,15
443,15
444,15
445,17
446,3
447,7
448,20
449,2
450,12
451,1
452,14
453,19
454,7
455,10
456,1
457,1
458,5
459,18
460,9
461,12
462,14
463,15
464,5
465,10
466,17
467,1
468,15
469,10
470,19
471,4
472,12
473,15
474,2
475,17
476,4
477,8
478,9
479,2
480,8
481,7
482,19
483,13
484,16
485,20
486,19
487,13
488,6
489,7
490,2
491,4
492,15
493,11
494,15
495,6
496,5
497,4
498,7
499,3
500,16
501,2
502,8
503,12
504,17
505,9
506,8
507,19
508,1
509,16
510,10
511,18
512,6
513,6
514,18
515,17
516,4
517,16
518,14
519,6
520,20
521,14
522,15
523,15
524,18
525,17
526,20
527,18
528,4
529,18
530,3
531,11
532,3
533,7
534,20
535,4
536,4
537,20
538,19
539,19
540,17
541,9
542,6
543,19
544,8
545,17
546,2
547,7
548,14
549,4
550,3
551,5
552,14
553,17
554,15
555,15
556,18
557,6
558,2
559,15
560,10
561,19
562,17
563,16
564,19
565,12
566,18
567,7
568,12
569,13
570,12
571,18
572,1
573,11
574,18
575,5
576,17
577,8
578,12
579,5
580,5
581,7
582,20
583,9
584,17
