0,11,6,4
1,11,17,5
2,9,17,14
3,18,12,12
4,15,9,10
5,11,14,1
6,12,16,5
7,10,6,4
8,1,6,7
9,2,18,20
10,1,1,11
11,3,16,20
12,10,3,12
13,4,9,15
14,7,17,1
15,16,14,1
16,13,1,10
17,4,8,12
18,4,14,20
19,20,1,13
20,5,1,3
21,15,5,10
22,13,19,16
23,8,16,8
24,14,15,8
25,8,20,13
26,14,9,13
27,12,5,13
28,14,8,12
29,4,18,13
30,10,1,18
31,12,6,17
32,10,1,7
33,3,5,9
34,15,11,17
35,12,20,3
36,10,1,5
37,4,4,1
38,18,6,12
39,18,12,7
40,9,11,19
41,19,1,7
42,7,10,1
43,5,18,7
44,11,13,17
45,9,5,20
46,7,18,5
47,18,14,8
48,10,16,2
49,6,20,3
50,17,18,8
51,14,14,11
52,13,3,8
53,4,11,13
54,8,12,3
55,15,8,1
56,9,19,9
57,5,10,5
58,1,8,9
59,12,20,11
60,7,18,8
61,20,2,5
62,19,17,19
63,11,1,2
64,1,10,11
65,17,1,13
66,13,13,10
67,10,13,20
68,19,1,10
69,2,15,2
70,5,10,11
71,14,6,7
72,5,7,2
73,11,1,5
74,17,8,16
75,13,7,4
76,5,17,18
77,4,1,6
78,3,4,18
79,15,19,6
80,8,18,11
81,14,11,12
82,14,15,16
83,10,20,8
84,20,17,19
85,3,18,11
86,1,16,8
87,20,5,16
88,3,18,2
89,4,10,12
90,8,8,9
91,16,17,6
92,11,10,15
93,19,14,1
94,4,15,5
95,11,2,18
96,6,13,2
97,19,13,9
98,15,6,13
99,10,20,3
100,5,20,3
101,12,18,7
102,9,18,12
103,15,5,4
104,9,2,4
105,4,20,4
106,15,19,5
107,11,10,19
108,4,9,3
109,16,5,4
110,18,7,11
111,2,3,13
112,20,3,3
113,16,6,20
114,8,7,1
115,10,18,5
116,1,8,6
117,10,12,12
118,14,7,18
119,20,2,5
120,13,8,3
121,7,17,3
122,5,18,4
123,9,12,10
124,20,18,2
125,16,5,6
126,14,15,10
127,14,1,15
128,15,18,19
129,10,19,13
130,10,16,11
131,18,15,2
132,7,18,11
133,17,11,14
134,2,13,3
135,5,17,4
136,12,16,4
137,6,17,13
138,20,10,17
139,9,19,18
140,18,5,14
141,7,17,14
142,8,5,15
143,4,15,15
144,14,14,16
145,6,2,15
146,12,13,8
147,12,11,7
148,13,7,11
149,9,6,10
150,5,20,11
151,8,3,11
152,20,9,17
153,9,14,19
154,14,1,4
155,4,12,7
156,7,3,18
157,8,19,15
158,11,1,15
159,18,11,10
160,11,4,18
161,15,13,18
162,7,12,7
163,5,3,8
164,8,14,2
165,10,15,16
166,13,19,5
167,1,12,9
168,16,3,8
169,11,11,7
170,14,7,18
171,9,17,14
172,16,6,5
173,1,10,11
174,16,7,1
175,4,15,12
176,1,14,16
177,18,16,14
178,4,12,4
179,16,5,9
180,18,2,20
181,10,15,12
182,18,19,9
183,20,10,16
184,12,20,3
185,4,20,20
186,2,5,6
187,7,9,16
188,13,8,15
189,13,11,6
190,10,10,7
191,19,5,3
192,18,15,10
193,3,5,20
194,15,19,7
195,18,4,17
196,11,4,8
197,2,7,12
198,17,9,8
199,20,11,13
200,3,14,13
201,11,1,19
202,13,18,4
203,15,6,17
204,9,9,18
205,8,13,13
206,6,17,19
207,8,7,5
208,17,9,4
209,8,18,17
210,14,14,15
211,15,19,6
212,17,17,10
213,17,19,7
214,18,8,8
215,10,3,9
216,14,13,15
217,7,9,8
218,19,2,10
219,7,2,16
220,11,14,12
221,12,4,12
222,15,16,9
223,17,20,13
224,19,3,9
225,15,14,12
226,15,16,9
227,1,10,6
228,7,9,3
229,20,5,11
230,5,20,6
231,20,5,15
232,16,19,13
233,13,11,17
234,7,6,18
235,3,6,3
236,6,1,10
237,18,14,19
238,10,19,5
239,11,12,17
240,3,20,1
241,8,16,11
242,7,1,13
243,1,11,4
244,15,5,10
245,11,2,6
246,19,5,18
247,19,9,7
248,15,16,4
249,9,3,4
250,19,17,14
251,19,16,3
252,7,5,19
253,16,20,14
254,9,7,17
255,3,3,5
256,5,20,7
257,6,11,8
258,8,4,11
259,1,5,6
260,3,8,3
261,14,10,1
262,11,12,10
263,20,10,20
264,11,10,5
265,11,2,13
266,6,20,7
267,12,3,3
268,17,6,15
269,13,4,9
270,18,9,20
271,19,3,7
272,3,5,5
273,20,6,13
274,16,19,1
275,11,1,12
276,1,19,12
277,11,4,20
278,4,7,17
279,8,13,9
280,2,6,11
281,1,15,10
282,18,8,19
283,4,11,7
284,6,17,16
285,6,4,15
286,2,19,7
287,9,7,3
288,8,4,19
289,15,15,2
290,14,17,10
291,20,19,13
292,17,11,20
293,16,5,8
294,16,19,7
295,16,14,15
296,13,9,17
297,16,13,4
298,4,9,14
299,14,9,11
300,18,2,18
301,20,6,4
302,16,6,8
303,3,20,5
304,5,16,9
305,1,6,4
306,1,7,11
307,7,17,4
308,20,15,1
309,16,8,2
310,18,16,2
311,10,17,1
312,12,3,2
313,16,10,9
314,5,3,2
315,4,5,10
316,19,11,4
317,2,5,5
318,1,14,13
319,17,10,16
320,2,12,11
321,6,4,10
322,10,3,14
323,12,7,17
324,18,17,7
325,13,10,13
326,19,19,18
327,3,19,11
328,11,1,20
329,3,17,19
330,7,14,9
331,9,7,1
332,14,18,17
333,3,6,18
334,2,9,14
335,15,12,10
336,20,17,17
337,11,15,5
338,20,14,7
339,5,12,15
340,14,16,19
341,20,14,17
342,12,5,3
343,15,2,14
344,6,16,13
345,12,11,5
346,13,8,14
347,15,19,6
348,4,2,15
349,15,3,8
350,8,10,15
351,2,3,7
352,11,4,7
353,8,17,3
354,5,3,9
355,9,18,17
356,12,15,14
357,18,12,4
358,18,15,4
359,10,15,18
360,1,13,3
361,20,1,20
362,18,19,5
363,19,20,17
364,6,16,11
365,5,16,3
366,9,16,18
367,12,3,12
368,12,14,16
369,3,3,12
370,11,4,13
371,11,9,18
372,17,10,13
373,9,17,9
374,7,12,2
375,9,8,4
376,10,4,10
377,7,5,20
378,9,18,10
379,7,6,11
380,19,13,19
381,6,14,2
382,14,8,9
383,15,4,9
384,9,6,4
385,13,8,1
386,14,18,15
387,16,6,5
388,16,7,19
389,8,8,16
390,5,15,12
391,13,3,18
392,1,12,15
393,17,12,18
394,17,18,16
395,14,10,9
396,3,3,17
397,4,11,1
398,5,17,11
399,5,2,3
400,5,17,15
401,3,20,6
402,9,20,6
403,3,18,15
404,11,16,8
405,17,11,19
406,11,13,2
407,14,8,3
408,3,17,3
409,13,8,15
410,19,11,18
411,6,4,5
412,2,5,7
413,17,11,1
414,8,1,2
415,16,3,8
416,20,10,10
417,9,1,16
418,10,19,16
419,8,12,20
420,19,4,19
421,15,11,13
422,9,17,9
423,10,13,17
424,5,1,3
425,11,11,3
426,7,10,16
427,19,8,15
428,12,1,17
429,17,15,7
430,5,6,13
431,11,4,19
432,19,17,15
433,5,20,1
434,9,19,5
435,18,10,19
436,14,17,18
437,12,16,7
438,1,5,1
439,15,8,8
440,10,13,14
441,8,15,19
442,1,6,20
443,17,2,11
444,18,3,19
445,10,11,20
446,19,20,17
447,14,15,2
448,9,9,6
449,6,20,5
450,18,9,20
451,4,16,1
452,1,5,7
453,5,1,14
